date,visit_count,visit_7day_mean,baseline,baseline_lowerbound,baseline_upperbound,ed_count
2023-04-25,3344,3486.0,4066.73576985897,3429.88460259656,4703.58693712138,38
2023-04-26,3382,3490.0,4069.65284968947,3432.56598213827,4706.73971724067,38
2023-04-27,3523,3511.0,4072.55861865772,3435.23707652019,4709.88016079525,38
2023-04-28,3821,3525.14285714286,4075.45229954814,3437.89717017186,4713.00742892441,38
2023-04-29,3522,3521.28571428571,4078.33311731599,3440.54554942741,4716.12068520456,38
2023-04-30,3594,3564.14285714286,4081.20029934693,3443.18150276526,4719.21909592859,38
2023-05-01,3459,3520.71428571429,4084.05307571743,3445.80432104874,4722.30183038612,38
2023-05-02,3911,3601.71428571429,4086.89067945597,3448.41329776749,4725.36806114446,38
2023-05-03,3462,3613.14285714286,4089.71234680491,3451.00772927958,4728.41696433023,38
2023-05-04,3586,3622.14285714286,4092.51731748282,3453.58691505421,4731.44771991143,38
2023-05-05,3720,3607.71428571429,4095.30483494741,3456.15015791489,4734.45951197993,38
2023-05-06,3503,3605.0,4098.07414665855,3458.69676428295,4737.45152903414,38
2023-05-07,3328,3567.0,4100.82450434166,3461.22604442142,4740.4229642619,38
2023-05-08,3882,3627.42857142857,4103.55516425107,3463.73731267891,4743.37301582324,38
2023-05-09,3483,3566.28571428571,4106.26538743331,3466.22988773359,4746.30088713303,38
2023-05-10,3548,3578.57142857143,4108.95443999025,3468.70309283709,4749.20578714341,38
2023-05-11,3612,3582.28571428571,4111.62159334192,3471.15625605814,4752.08693062569,38
2023-05-12,3827,3597.57142857143,4114.26612448884,3473.5887105259,4754.94353845178,38
2023-05-13,3468,3592.57142857143,4116.88731627381,3475.99979467279,4757.77483787484,38
2023-05-14,3351,3595.85714285714,4119.484457643,3478.38885247683,4760.58006280916,38
2023-05-15,3980,3609.85714285714,4122.05684390609,3480.75523370315,4763.35845410904,38
2023-05-16,3522,3615.42857142857,4124.60377699562,3483.09829414474,4766.10925984651,38
2023-05-17,3820,3654.28571428571,4127.12456572501,3485.41739586223,4768.83173558778,38
2023-05-18,3206,3596.28571428571,4129.61852604547,3487.71190742258,4771.52514466837,38
2023-05-19,4213,3651.42857142857,4132.08498130148,3489.98120413646,4774.1887584665,38
2023-05-20,3583,3667.85714285714,4134.52326248472,3492.22466829445,4776.82185667498,38
2023-05-21,3320,3663.42857142857,4136.93270848633,3494.4416894016,4779.42372757105,38
2023-05-22,3931,3656.42857142857,4139.31266634739,3496.63166441042,4781.99366828436,38
2023-05-23,3547,3660.0,4141.66249150746,3498.7939979522,4784.53098506272,38
2023-05-24,3536,3619.42857142857,4143.98154805098,3500.92810256636,4787.0349935356,38
2023-05-25,3587,3673.85714285714,4146.26920895146,3503.03339892779,4789.50501897512,38
2023-05-26,3913,3631.0,4148.52485631337,3505.10931607218,4791.94039655456,38
2023-05-27,3665,3642.71428571429,4150.74788161141,3507.15529161887,4794.34047160395,38
2023-05-28,3642,3688.71428571429,4152.93768592724,3509.17077199152,4796.70459986297,38
2023-05-29,3496,3626.57142857143,4155.09368018336,3511.15521263605,4799.03214773068,38
2023-05-30,4008,3692.42857142857,4157.21528537408,3513.10807823605,4801.32249251211,38
2023-05-31,3618,3704.14285714286,4159.30193279345,3515.02884292535,4803.57502266155,38
2023-06-01,3623,3709.28571428571,4161.35306425998,3516.91699049764,4805.78913802233,38
2023-06-02,3878,3704.28571428571,4163.36813233804,3518.7720146131,4807.96425006299,38
2023-06-03,3427,3670.28571428571,4165.34660055577,3520.5934190018,4810.09978210975,38
2023-06-04,3206,3608.0,4167.28794361941,3522.3807176638,4812.19516957503,38
2023-06-05,4050,3687.14285714286,4169.19164762391,3524.13343506587,4814.24986018195,38
2023-06-06,3669,3638.71428571429,4171.05721025964,3525.85110633459,4816.26331418469,38
2023-06-07,3873,3675.14285714286,4172.88414101516,3527.53327744584,4818.23500458448,38
2023-06-08,3587,3670.0,4174.67196137585,3529.17950541044,4820.16441734126,38
2023-06-09,4171,3711.85714285714,4176.42020501828,3530.78935845593,4822.05105158062,38
2023-06-10,3665,3745.85714285714,4178.12841800025,3532.36241620426,4823.89441979623,38
2023-06-11,3583,3799.71428571429,4179.79615894633,3533.89826984542,4825.69404804725,38
2023-06-12,4021,3795.57142857143,4181.42299922883,3535.39652230672,4827.44947615095,38
2023-06-13,3842,3820.28571428571,4183.00852314396,3536.85678841777,4829.16025787015,38
2023-06-14,3689,3794.0,4184.55232808327,3538.278695071,4830.82596109555,38
2023-06-15,3692,3809.0,4186.05402470009,3539.66188137749,4832.44616802269,38
2023-06-16,3881,3767.57142857143,4187.5132370709,3541.00599881827,4834.02047532354,38
2023-06-17,3629,3762.42857142857,4188.92960285162,3542.31071139074,4835.54849431249,38
2023-06-18,3419,3739.0,4190.30277342855,3543.57569575024,4837.02985110686,38
2023-06-19,4058,3744.28571428571,4191.63241406403,3544.80064134663,4838.46418678143,38
2023-06-20,3730,3728.28571428571,4192.9182040366,3545.98525055582,4839.85115751738,38
2023-06-21,3576,3712.14285714286,4194.15983677562,3547.12923880616,4841.19043474507,38
2023-06-22,3481,3682.0,4195.35701999031,3548.2323346996,4842.48170528101,38
2023-06-23,3779,3667.42857142857,4196.50947579297,3549.29428012744,4843.7246714585,38
2023-06-24,3673,3673.71428571429,4197.61694081651,3550.31483038082,4844.9190512522,38
2023-06-25,3438,3676.42857142857,4198.679166326,3551.29375425562,4846.06457839638,38
2023-06-26,3884,3651.57142857143,4199.69591832435,3552.23083415191,4847.16100249679,38
2023-06-27,3592,3631.85714285714,4200.66697765189,3553.12586616768,4848.2080891361,38
2023-06-28,3557,3629.14285714286,4201.59214007993,3553.97866018704,4849.20561997282,38
2023-06-29,3632,3650.71428571429,4202.4712163981,3554.7890399625,4850.1533928337,38
2023-06-30,3727,3641.0,4203.30403249552,3555.55684319164,4851.05122179939,38
2023-07-01,3297,3413.85714285714,3798.19587281795,3208.36499891168,4388.02674672422,35
2023-07-02,3189,3404.71428571429,3798.86427775166,3208.9809197619,4388.74763574142,35
2023-07-03,3651,3404.28571428571,3799.49049937007,3209.55803639792,4389.42296234222,35
2023-07-04,3416,3407.71428571429,3800.07443555825,3210.09625323431,4390.05261788219,35
2023-07-05,3201,3381.57142857143,3800.61599812373,3210.59548754232,4390.63650870513,35
2023-07-06,3383,3379.0,3801.11511283524,3211.05566948675,4391.17455618373,35
2023-07-07,3625,3394.57142857143,3801.5717194556,3211.47674215741,4391.66669675378,35
2023-07-08,3311,3396.57142857143,3801.98577176864,3211.858661595,4392.11288194227,35
2023-07-09,3125,3387.42857142857,3802.35723760026,3212.20139681148,4392.51307838904,35
2023-07-10,,,3802.68609883355,3212.50492980497,4392.86726786214,35
2023-07-11,,,3802.97235141793,3212.76925556893,4393.17544726692,35
