date,syndrome,visit_count,visit_7day_mean,baseline,baseline_lowerbound,baseline_upperbound,ed_count
2023-08-21,SARI,,,38.9233344080758,-9.01119655577806,86.8578653719297,25
2023-08-22,SARI,,,39.0513158126963,-8.96246264480851,87.0650942702011,25
2023-08-23,SARI,,,39.183400262053,-8.91203445324449,87.2788349773505,25
2023-08-24,SARI,,,39.319590180434,-8.85989917940133,87.4990795402694,25
2023-08-25,SARI,,,39.4598876880988,-8.80604386432,87.7258192405176,25
2023-08-26,SARI,,,39.6042945736416,-8.75045541182756,87.9590445591107,25
2023-08-27,SARI,,,39.7528122654798,-8.69312060932891,88.1987451402885,25
2023-08-28,SARI,,,39.9054418024733,-8.63402614933238,88.4449097542789,25
2023-08-29,SARI,,,40.0621838036825,-8.57315865171133,88.6975262590763,25
2023-08-30,SARI,,,40.2230384372731,-8.5105046867034,88.9565815612497,25
2023-08-31,SARI,,,40.3880053885784,-8.44605079864734,89.2220615758042,25
2023-09-01,SARI,,,40.557083827328,-8.3797835304582,89.4939511851142,25
2023-09-02,SARI,,,40.7302723740569,-8.31168944883918,89.772234196953,25
2023-09-03,SARI,,,40.9075690657064,-8.24175517022876,90.0568933016417,25
2023-09-04,SARI,,,41.0889713204323,-8.16996738748,90.3479100283447,25
2023-09-05,SARI,,,41.2744759016356,-8.09631289726834,90.6452647005395,25
2023-09-06,SARI,,,41.4640788812333,-8.02077862822283,90.9489363906895,25
2023-09-07,SARI,,,41.6577756021879,-7.94335166977492,91.2589028741508,25
2023-09-08,SARI,,,41.855560640316,-7.86401930171713,91.5751405823491,25
2023-09-09,SARI,,,42.0574277653971,-7.78276902446353,91.8976245552578,25
2023-09-10,SARI,,,42.2633699016078,-7.69958859000167,92.2263283932173,25
2023-09-11,SARI,,,42.4733790873046,-7.61446603352489,92.5612242081341,25
2023-09-12,SARI,,,42.6874464341842,-7.52738970573215,92.9022825741006,25
2023-09-13,SARI,,,42.905562085849,-7.43834830578114,93.2494724774791,25
2023-09-14,SARI,,,43.1277151758089,-7.34733091487854,93.6027612664963,25
2023-09-15,SARI,,,43.3538937849526,-7.25432703049042,93.9621146003957,25
2023-09-16,SARI,,,43.5840848985228,-7.1593266011528,94.3274963981983,25
2023-09-17,SARI,,,43.8182743626312,-7.06232006186195,94.6988687871244,25
2023-09-18,SARI,,,44.0564468403543,-6.96329837002158,95.0761920507302,25
2023-09-19,SARI,,,44.298585767449,-6.86225304192154,95.4594245768195,25
2023-09-20,SARI,,,44.5446733077318,-6.7591761897227,95.8485228051862,25
2023-09-21,SARI,,,44.7946903081678,-6.65406055891799,96.2434411752535,25
2023-09-22,SARI,,,45.048616253716,-6.54689956624023,96.6441320736723,25
2023-09-23,SARI,,,45.3064292219817,-6.43768733798338,97.0505457819467,25
2023-09-24,SARI,,,45.5681058377268,-6.32641874870286,97.4626304241564,25
2023-09-25,SARI,,,45.8336212272951,-6.21308946025797,97.8803319148482,25
2023-09-26,SARI,,,46.1029489730069,-6.09769596115743,98.3035939071712,25
2023-09-27,SARI,,,46.3760610675826,-5.980235606167,98.7323577413321,25
2023-09-28,SARI,,,46.6529278686586,-5.86070665613557,99.1665623934528,25
2023-09-29,SARI,,,46.9335180534572,-5.73910831799451,99.6061444249089,25
2023-09-30,SARI,,,47.2177985736771,-5.6154407848822,100.051037932236,25
2022-10-01,ILI,0,0.485714285714286,7.04993422079347,-15.3136152098029,29.4134836513899,31
2022-10-02,ILI,0,0.30952380952381,7.25392154600025,-15.4318408378975,29.939683929898,31
2022-10-03,ILI,2,0.571428571428571,7.46580356890349,-15.5499220807872,30.4815292185942,31
2022-10-04,ILI,0,0.571428571428571,7.6858630760692,-15.6676848270053,31.0394109791438,31
2022-10-05,ILI,1,0.714285714285714,7.9143916321455,-15.784945962308,31.613729226599,31
